pollster_id,pollster,state,start_date,end_date,sample_size,population,race_id,cycle,election_date,candidate_id
1515,Data for Progress,NA,10/2/24,10/3/24,1211,lv,8914,2024,11/5/24,16661
1515,Data for Progress,NA,10/2/24,10/3/24,1211,lv,8914,2024,11/5/24,16651
1554,RMG Research,NA,9/30/24,10/3/24,2965,lv,8914,2024,11/5/24,16661
1554,RMG Research,NA,9/30/24,10/3/24,2965,lv,8914,2024,11/5/24,16651
446,St. Anselm,New Hampshire,10/1/24,10/2/24,2104,lv,8848,2024,11/5/24,16661
446,St. Anselm,New Hampshire,10/1/24,10/2/24,2104,lv,8848,2024,11/5/24,16651
446,St. Anselm,New Hampshire,10/1/24,10/2/24,2104,lv,8848,2024,11/5/24,31116
446,St. Anselm,New Hampshire,10/1/24,10/2/24,2104,lv,8848,2024,11/5/24,31790
446,St. Anselm,New Hampshire,10/1/24,10/2/24,2104,lv,8848,2024,11/5/24,31097
1741,ActiVote,NA,9/25/24,10/2/24,1000,lv,8914,2024,11/5/24,16661
1741,ActiVote,NA,9/25/24,10/2/24,1000,lv,8914,2024,11/5/24,16651
1741,ActiVote,New Jersey,9/4/24,10/2/24,400,lv,8851,2024,11/5/24,16661
1741,ActiVote,New Jersey,9/4/24,10/2/24,400,lv,8851,2024,11/5/24,16651
568,YouGov,NA,9/29/24,10/1/24,1463,rv,8914,2024,11/5/24,16661
568,YouGov,NA,9/29/24,10/1/24,1463,rv,8914,2024,11/5/24,16651
568,YouGov,NA,9/29/24,10/1/24,1463,rv,8914,2024,11/5/24,31116
568,YouGov,NA,9/29/24,10/1/24,1463,rv,8914,2024,11/5/24,31097
568,YouGov,NA,9/29/24,10/1/24,1261,lv,8914,2024,11/5/24,16661
568,YouGov,NA,9/29/24,10/1/24,1261,lv,8914,2024,11/5/24,16651
568,YouGov,NA,9/29/24,10/1/24,1261,lv,8914,2024,11/5/24,31116
568,YouGov,NA,9/29/24,10/1/24,1261,lv,8914,2024,11/5/24,31097
1102,Emerson,NA,9/29/24,10/1/24,1000,lv,8914,2024,11/5/24,16661
1102,Emerson,NA,9/29/24,10/1/24,1000,lv,8914,2024,11/5/24,16651
1697,Bullfinch,Nebraska,9/27/24,10/1/24,400,lv,8845,2024,11/5/24,16661
1697,Bullfinch,Nebraska,9/27/24,10/1/24,400,lv,8845,2024,11/5/24,16651
1205,Marist,NA,9/27/24,10/1/24,1294,lv,8914,2024,11/5/24,16661
1205,Marist,NA,9/27/24,10/1/24,1294,lv,8914,2024,11/5/24,16651
1205,Marist,NA,9/27/24,10/1/24,1514,rv,8914,2024,11/5/24,16661
1205,Marist,NA,9/27/24,10/1/24,1514,rv,8914,2024,11/5/24,16651
461,Susquehanna,NA,9/23/24,10/1/24,1001,lv,8914,2024,11/5/24,16661
461,Susquehanna,NA,9/23/24,10/1/24,1001,lv,8914,2024,11/5/24,16651
317,Mitchell,Michigan,9/30/24,9/30/24,709,lv,8820,2024,11/5/24,16661
317,Mitchell,Michigan,9/30/24,9/30/24,709,lv,8820,2024,11/5/24,16651
317,Mitchell,Michigan,9/30/24,9/30/24,709,lv,8820,2024,11/5/24,16661
317,Mitchell,Michigan,9/30/24,9/30/24,709,lv,8820,2024,11/5/24,16651
317,Mitchell,Michigan,9/30/24,9/30/24,709,lv,8820,2024,11/5/24,31042
317,Mitchell,Michigan,9/30/24,9/30/24,709,lv,8820,2024,11/5/24,31116
317,Mitchell,Michigan,9/30/24,9/30/24,709,lv,8820,2024,11/5/24,31790
317,Mitchell,Michigan,9/30/24,9/30/24,709,lv,8820,2024,11/5/24,37465
317,Mitchell,Michigan,9/30/24,9/30/24,709,lv,8820,2024,11/5/24,36761
317,Mitchell,Michigan,9/30/24,9/30/24,709,lv,8820,2024,11/5/24,31097
235,InsiderAdvantage,Arizona,9/29/24,9/30/24,800,lv,8759,2024,11/5/24,16661
235,InsiderAdvantage,Arizona,9/29/24,9/30/24,800,lv,8759,2024,11/5/24,16651
235,InsiderAdvantage,Nevada,9/29/24,9/30/24,800,lv,8857,2024,11/5/24,16661
235,InsiderAdvantage,Nevada,9/29/24,9/30/24,800,lv,8857,2024,11/5/24,16651
